,noProfiling,withProfilingOff,withProfilingOn,withLirReorderOff,withLirReorderOn,ReorederOn-noProfiling,ProfilingOn-noProfiling
Total:,1162.8,1202.1,1164.8,1162.6,1202.9,40.1,2
,,,,,,,
ai:,94.4,104.2,94.5,94.5,94.6,0.2,0.1
astar:,94.4,104.2,94.5,94.5,94.6,0.2,0.1
,,,,,,,
audio:,389.1,395.4,388.8,388.8,389.3,0.2,-0.3
beat-detection:,85.6,89.3,86,85.6,86.2,0.6,0.4
dft:,145.3,146.7,145,145,145.2,-0.1,-0.3
fft:,59.6,61.5,59.6,59.6,59.6,0,0
oscillator:,98.6,97.9,98.2,98.6,98.3,-0.3,-0.4
,,,,,,,
imaging:,306.5,325.7,306.5,307.2,308.3,1.8,0
gaussian-blur:,105,111.1,104.9,105.4,105,0,-0.1
darkroom:,127.5,128.6,127.7,127.8,128,0.5,0.2
desaturate:,74,86.1,74,74.1,75.3,1.3,0
,,,,,,,
json:,72,72.4,72,72.1,72,0,0
parse-financial:,36.5,37.2,36.4,36.5,36.4,-0.1,-0.1
stringify-tinderbox:,35.5,35.2,35.6,35.6,35.6,0.1,0.1
,,,,,,,
stanford:,300.8,304.4,303,300,338.7,37.9,2.2
crypto-aes:,78.8,79.9,79.5,79.1,79.3,0.5,0.7
crypto-ccm:,79.5,80.3,79.6,79.4,106,26.5,0.1
crypto-pbkdf2:,93.3,93.7,94.6,92.3,91.1,-2.2,1.3
crypto-sha256-iterative:,49.2,50.5,49.3,49.2,62.2,13,0.1
