,baseline,prof.off,prof.on,reorder.off,reorder.on,Reorder-baseline,Profiling-baseline
Score,18425,18455,18451,18381,17456,5.260,-0.141
Box2D,21264,21372,21248,21254,14463,31.984,0.076
CodeLoad,21093,21108,21081,20999,21011,0.386,0.055
Crypto,22407,22403,22402,22407,18827,15.976,0.023
DeltaBlue,19446,19357,19444,19450,19505,-0.305,0.012
EarleyBoyer,20855,20865,20873,20847,18779,9.956,-0.084
Gameboy,33356,33323,33222,33356,33257,0.296,0.402
Mandreel,22797,22857,22934,22946,22083,3.131,-0.601
NavierStokes,25490,25479,25476,25488,25474,0.061,0.055
PdfJS,12196,12294,12167,12277,12008,1.542,0.243
RayTrace,26477,26499,26465,26461,26495,-0.066,0.046
RegExp,3700,3692,3707,3711,3711,-0.299,-0.191
Richards,19475,19462,19489,19457,19362,0.577,-0.072
Splay,15344,15533,15621,14732,15587,-1.587,-1.811
