Kraken,baseline,reorder.on,Diff,Diff(Ratio)
Total,1152.9,1164.7,-11.8,-1.02
ai:,93.9,93.4,0.5,0.53
astar:,93.9,93.4,0.5,0.53
audio:,378.2,377,1.2,0.32
beat-detection:,82.6,82.2,0.4,0.48
dft:,142.4,142.7,-0.3,-0.21
fft:,56,56.1,-0.1,-0.18
oscillator:,97.3,96.1,1.2,1.23
imaging:,312,312.9,-0.9,-0.29
gaussian-blur:,104.9,105.5,-0.6,-0.57
darkroom:,120.1,121.3,-1.2,-1.00
desaturate:,87,86,1,1.15
json:,73.3,75.1,-1.8,-2.46
parse-financial:,36.7,36.5,0.2,0.54
stringify-tinderbox:,36.6,38.6,-2,-5.46
stanford:,295.4,306.3,-10.9,-3.69
crypto-aes:,77.2,78.1,-0.9,-1.17
crypto-ccm:,80,79.5,0.5,0.63
crypto-pbkdf2:,89,90.6,-1.6,-1.80
crypto-sha256-iterative:,49.1,58.1,-9,-18.33
