SunSpider,baseline,prof.on,reorder.on,Reoder-baseline,Prof-baseline
Total:,175.7,177.1,178,1.31,0.80
3d:,31.5,31.9,32.4,2.86,1.27
cube:,13.2,13.3,13.5,2.27,0.76
morph:,4.3,4.3,4.5,4.65,0.00
raytrace:,13.9,14.3,14.5,4.32,2.88
access:,13.2,13.3,13.2,0.00,0.76
binary-trees:,2.4,2.3,2.3,-4.17,-4.17
fannkuch:,5.7,5.8,5.7,0.00,1.75
nbody:,2.8,2.8,2.7,-3.57,0.00
nsieve:,2.3,2.4,2.4,4.35,4.35
bitops:,7.9,7.9,8.2,3.80,0.00
3bit-bits-in-byte:,1,1,1,0.00,0.00
bits-in-byte:,2,1.9,2.1,5.00,-5.00
bitwise-and:,1.7,1.7,1.8,5.88,0.00
nsieve-bits:,3.3,3.3,3.3,0.00,0.00
controlflow:,2.3,2.4,2.4,4.35,4.35
recursive:,2.3,2.4,2.4,4.35,4.35
crypto:,17.2,17.4,17.4,1.16,1.16
aes:,9.9,10,10,1.01,1.01
md5:,4.3,4.3,4.3,0.00,0.00
sha1:,3,3.1,3,0.00,3.33
date:,23.1,23.3,23.2,0.43,0.87
format-tofte:,10.8,10.8,10.9,0.93,0.00
format-xparb:,12.3,12.5,12.3,0.00,1.63
math:,11.4,11.5,11.4,0.00,0.88
cordic:,2.6,2.6,2.6,0.00,0.00
partial-sums:,7,7,7,0.00,0.00
spectral-norm:,1.8,1.9,1.9,5.56,5.56
regexp:,13.3,13.4,13.5,1.50,0.75
dna:,13.3,13.4,13.5,1.50,0.75
string:,55.8,56,56.2,0.72,0.36
base64:,5.1,5.2,5.2,1.96,1.96
fasta:,5.9,6,6,1.69,1.69
tagcloud:,14.6,14.4,14.8,1.37,-1.37
unpack-code:,24.8,24.8,24.8,0.00,0.00
validate-input:,5.4,5.6,5.5,1.85,3.70
