	box2d.js	code-load.js	crypto.js	deltablue.js	earley-boyer.js	gbemu.js	mandreel.js	navier-stokes.js	pdfjs.js	raytrace.js	regexp.js	richards.js	splay.js
AND_JUMP	163315	15549	5610	43593	376959	203884	104	34	504359	285318	0	0	0
AND_NOJUMP	542905	12136	185215	80619	63030	1518370	3	39	403978	223608	0	0	0
BRANCH	8169722	57133	33540333	1793352	64125485	30382031	129630807	18619933	14710159	4518332	1265801	1625580	1512767
CASE_JUMP	69795	0	0	0	0	20282	230	0	43110	0	0	0	0
CASE_NOJUMP	88146	0	0	0	0	97250	200	0	3590240	0	0	0	0
GE	436167	0	30017661	0	689452	3103645	51584194	0	578765	70950	0	0	7999
GOTO	1494277	6454	3355845	996699	12610391	3977455	43916313	111249	3073445	2841863	5702	380292	272322
GT	1345431	41	329295	97086	0	5880385	6938729	1669497	164835	520443	0	112662	239901
IFEQ_JUMP	3023953	27169	407162	239349	38643232	5692843	20233454	1697	2839060	929538	0	785499	766249
IFEQ_NOJUMP	616481	2748	76161	987625	14405293	2199617	18948325	177	866536	5405834	1	606145	379752
IFNE_JUMP	227457	10660	98756	6699	12526008	1268437	19621171	0	598415	306	0	353331	237388
IFNE_NOJUMP	37422	2214	94941	10230	1372767	21967	1030183	0	106195	35	0	33396	17829
IN	0	41	0	0	0	0	1	0	14860	0	0	0	0
LE	171999	0	137937	3366	0	658273	1187180	13528881	178315	92928	0	0	0
LT	3652639	16024	2645084	582879	84876	14928292	42312761	3420820	9677202	619443	1265801	105468	352979
OR_JUMP	19215	6262	4158	16566	2079	219880	102	2	134045	33	0	18348	2878
OR_NOJUMP	389808	4466	231	9999	334554	161455	5	0	1970490	430914	0	333828	0
