LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
AVERAGE;19455.2368801461;19391.9870788923;22387.7455273979;26469.0788651811;20857.1972196414;3686.9852089862;15673.8320038366;25470.3964557705;12262.6053661295;22903.6163606652;33270.8203793574;21145.7687626104;21264.8014597418;18446.0796002739
GEOMEAN;19450.4400730729;19385.5394461535;22384.7636989489;26467.432590541;20856.6098207114;3686.604493071;15572.0019182862;25470.2278852362;12260.6830647644;22901.1803326213;33259.189678711;21142.3813051966;21261.7298709232;18444.8001369436
1;19473;19538;22668;26862;20927;3683;15679;25423;12174;22753;33529;21178;21363;18508
2;19497;19485;22764;26714;20815;3633;15043;25448;12353;23129;32571;21370;20971;18409
3;19529;19412;22170;26566;21058;3747;12774;25545;12139;23084;31672;21136;21236;18132
4;19307;19373;22692;26265;20684;3655;15940;25448;12104;23220;33895;21245;20805;18454
5;19476;19598;22382;26687;20923;3728;17023;25423;12174;23174;31335;21082;20846;18508
6;19473;19419;22505;26143;20840;3691;16160;25499;12115;23152;33728;21246;21048;18505
7;19511;19445;22556;26506;20885;3647;13493;25545;12057;22732;33861;21284;21539;18274
8;19508;19221;22368;26539;21037;3662;17602;25525;12340;23242;33828;21395;21517;18709
9;19522;19399;22482;26862;21062;3751;16698;25474;12221;22929;31456;21123;21215;18530
10;19564;19604;22368;26015;20894;3702;17480;25525;12575;23129;31487;21150;20909;18568
11;19501;19492;22396;26575;20785;3728;13919;25525;12209;22885;33929;21181;21111;18331
12;19554;19432;22336;26566;20610;3683;13439;25499;12127;22951;33695;21212;20971;18225
13;19518;19439;22209;26344;21000;3687;15744;25423;12081;22973;33464;21165;21342;18458
14;19483;19274;22343;26319;20822;3720;13498;25448;12046;22929;33464;21177;21152;18217
15;19554;19413;21504;26936;20810;3736;13325;25178;12174;23062;31579;21152;21517;18147
16;19483;19333;22456;27010;20940;3691;17724;25525;12558;23017;33761;21144;20764;18701
17;19494;19419;22304;26607;20773;3665;13590;25525;12174;22819;33529;21215;21300;18253
18;19529;19478;22127;26485;20724;3676;13460;25448;12127;23310;33794;21228;21131;18251
19;19518;18275;21775;26560;20755;3665;13476;25376;12475;22885;33929;21277;21539;18187
20;19536;19359;22672;26243;20755;3694;13445;25398;12257;23084;33929;21283;21300;18290
21;19529;19571;22250;26439;20705;3694;17496;25499;12139;23084;33929;21080;21560;18656
22;19540;19486;21756;26371;20727;3713;15736;25250;12570;22538;33761;21187;21173;18448
23;19494;19333;22249;26237;20691;3716;16135;25448;12034;22775;33497;21280;21602;18480
24;19550;19373;22170;26190;20790;3702;16062;25448;12104;23107;33861;21221;21173;18486
25;19324;19386;22470;26776;20795;3713;17227;25499;12034;23040;33728;21210;20805;18584
26;19455;19677;22214;27010;20896;3702;17072;25376;12600;22474;31518;21204;21710;18588
27;19437;19485;22549;26532;20754;3702;16005;25499;12617;23107;33962;21161;21194;18585
28;19529;19336;22457;26465;21039;3720;17382;25474;12057;22995;33595;21085;21581;18647
29;19515;19419;22694;26566;21115;3728;18083;25474;12582;23017;33996;18392;21861;18640
30;19430;19485;22393;26566;20745;3716;13528;25423;12525;23265;33695;21265;21406;18347
31;19515;19452;22484;26613;20986;3680;17700;25398;12365;23084;31703;21082;21342;18610
32;19515;19313;22337;26491;20840;3709;13731;25376;12174;23129;33996;21372;21406;18327
33;19508;19459;22206;26303;20885;3694;13344;25596;12057;22863;33794;21109;21028;18207
34;19511;19419;22469;26714;21165;3724;14049;25474;12341;22775;33895;20709;21278;18360
35;19466;19532;22178;26554;20964;3497;17382;25474;12402;23129;31487;21080;21321;18489
36;19508;19359;22835;26246;20662;3644;17252;25525;12092;22732;33861;21242;21496;18600
37;19515;16867;17672;26270;20735;3691;13456;25448;12233;22775;33895;21263;21048;17715
38;19476;12913;22559;26714;21133;3713;17455;25545;12512;22841;31548;21155;21236;18043
39;19515;19499;22719;26048;20771;3680;15760;25622;11954;22929;33562;21213;20826;18427
40;19271;19306;22664;26465;20945;3687;15956;25474;12034;23107;33962;21312;21539;18530
41;19497;19400;22300;26267;20717;3766;16152;25571;12700;23129;33107;21310;21300;18583
42;19490;19460;22365;26196;21020;3735;13354;25571;12305;22885;33794;21280;21560;18310
43;19451;19604;22459;26475;20823;3687;14122;25525;12197;23152;33828;21353;21300;18377
44;19501;19347;22623;26418;20802;3713;13410;25351;12546;22688;33895;21328;21363;18312
45;19515;19511;22600;26164;20790;3698;13323;25499;12174;23129;33012;21298;21194;18236
46;19466;19710;22246;26139;20757;3676;13438;25499;12341;22951;32757;21316;21496;18244
47;19508;19492;22041;26485;21106;3658;17447;25499;12363;22841;33366;21286;20930;18605
48;19561;19459;22656;25954;20748;3744;13245;25474;12069;23129;31641;21210;20805;18130
49;19494;19353;22505;26507;20843;3728;17415;25474;12023;22710;33464;21126;21069;18584
50;19476;19432;22595;26909;20886;3691;15826;25499;12365;23017;33661;21327;21321;18568
51;19473;19366;22772;26581;20817;3728;17325;25423;11977;23152;33728;21245;20888;18622
52;19543;19558;22584;26143;20798;3724;17309;25545;11943;23107;33464;21142;21496;18624
53;19526;19293;22705;26243;20794;3716;17627;25622;12127;22841;33595;21252;21427;18658
54;19462;19392;22273;26936;21142;3702;17749;25474;12363;23220;33929;21224;21602;18765
55;19526;19326;22354;26344;20655;3687;13162;25474;12341;22732;34030;21245;21321;18229
56;19508;19698;22614;26217;21000;3713;13462;25596;12562;22863;32479;21295;21731;18333
57;19536;19419;22089;26714;20790;3673;16046;25499;12402;23062;33595;21174;20950;18504
58;19508;19373;22548;26087;21154;3693;16143;25398;12353;22907;31518;21141;21406;18452
59;19518;18811;22328;26566;20903;3683;16722;25376;12081;22995;33962;21281;20930;18508
60;19490;19373;22604;26126;20789;3713;15850;25474;12209;22797;33497;21218;20971;18456
61;19275;19472;22500;26194;20813;3633;13543;25525;12150;22797;33728;21187;21427;18228
62;19271;19201;21989;26579;20762;3713;13546;25474;12197;23040;33529;21137;21363;18225
63;19526;19419;22421;26485;20757;3683;13586;25474;12162;22907;33962;21316;21385;18294
64;19504;19465;22345;26344;20586;3665;15842;25499;12593;22645;33628;21255;20743;18455
65;19317;19399;22790;26465;20775;3713;14294;25571;12629;22688;33929;21195;21236;18409
66;19282;19399;21970;26449;20790;3720;13464;25596;12365;22885;33661;21186;21581;18268
67;19293;19459;22640;26243;20686;3662;15915;25398;12652;23242;33695;21287;20909;18518
68;19522;19439;22368;26152;20774;3705;13460;25423;12197;22951;33661;21233;20764;18215
69;19476;19334;22698;26344;20650;3687;15695;25499;12000;23152;33595;21178;21363;18463
70;19324;19280;22408;26307;20848;3731;13642;25525;12550;23129;33728;21296;21236;18328
71;19508;19346;22478;26418;21004;3669;17716;25499;12217;23129;33861;21263;21427;18692
72;19444;19578;22370;26856;21105;3669;13546;25596;12365;22841;33929;21275;21581;18364
73;18940;19373;22608;26344;20828;3669;17349;25525;12057;23129;33562;21265;21818;18610
74;19522;19445;22427;27010;20846;3728;15980;25499;12221;21538;33562;21313;21278;18473
75;19554;19425;22469;26465;20711;3691;17781;25423;12250;22841;33728;21246;21300;18663
76;19515;19472;22731;26365;21037;3665;17178;25398;12488;23107;31518;21212;21581;18600
77;19550;19472;22392;26298;20784;3662;13433;25398;12127;22995;33761;21210;21321;18243
78;19511;19399;22571;26788;21077;3702;13580;25448;12057;23242;33861;21168;21539;18347
79;19314;19578;22543;26371;20778;3580;13460;25525;12092;22841;33828;21148;21385;18213
80;19469;19419;22458;26862;20610;3687;13288;25525;12293;23062;33728;21148;21517;18287
81;19469;19326;22589;26265;20812;3687;13293;25545;12414;23017;33661;21221;20867;18242
82;19494;19379;22448;26539;21077;3702;13643;25571;12389;22929;34098;21154;21581;18368
83;19529;19379;22716;26196;20690;3713;13428;25423;12512;22732;33861;21327;21385;18307
84;19416;19187;22331;26291;20684;3698;13674;25545;12475;22951;33794;20871;20888;18235
85;19264;20034;21841;26788;21158;3680;13550;25474;12353;22995;34030;21254;21645;18363
86;19543;19313;21855;26538;20750;3691;13515;25448;12174;22134;33895;20887;20784;18130
87;19508;19399;22310;26492;21009;3702;17741;25448;12617;23129;33929;21312;21560;18763
88;19455;19703;22258;26281;20863;3691;14082;25474;12796;23062;32602;21248;21560;18379
89;19483;20146;22327;26298;20697;3770;17423;25596;12537;22819;31672;21116;20826;18603
90;19554;19571;22465;26418;21060;3698;15728;25474;12293;22819;31518;21066;21710;18447
91;19522;19439;22360;26407;20973;3713;16893;25596;12245;23129;31672;21204;20434;18480
92;19264;19326;22020;26506;20739;3604;15622;25499;12562;23174;33962;20946;21363;18446
93;19557;19486;22281;26788;20975;3720;16005;25423;12081;22863;33962;21198;21111;18528
94;19497;19425;22381;26006;20845;3720;16176;25448;12081;23084;33895;21268;21688;18545
95;19561;19412;22559;26366;20793;3680;17276;25499;12000;22667;33661;21246;21385;18590
96;19526;19697;22530;26566;21003;3658;17749;25376;12340;22995;33695;21287;21560;18732
97;19554;19445;22536;26770;21021;3698;17276;25423;12057;22289;33366;21245;21152;18585
98;19557;19392;22544;26475;20822;3456;15972;25376;12069;23062;33794;21231;20971;18397
99;19564;19413;22535;26147;20908;3662;14253;25474;12629;22517;33895;21339;21300;18376
100;19511;19406;22719;26246;20677;3698;13635;25423;12139;22907;34132;21319;21560;18316
101;19511;19579;22405;26433;20726;3698;13547;25376;12115;22624;33695;21263;21818;18285
102;19233;19439;22445;25892;20698;3640;15956;25448;12438;22581;33828;21168;21517;18453
103;19508;19433;22291;26517;20876;3781;17700;25423;12305;22995;31641;21054;21173;18594
104;19522;19392;22235;26566;20899;3680;17480;25448;12011;23220;33236;20351;20805;18514
105;19490;19275;22165;26539;21042;3680;17235;25474;12081;22841;33794;21143;21560;18602
106;19360;19459;22100;26418;20958;3673;15907;25448;12127;22797;33661;21292;21342;18464
107;19526;19472;22400;26418;20681;3702;13442;25571;12162;23129;33661;21293;20475;18223
108;19515;19412;22442;26216;20923;3709;13522;25376;12221;22797;33628;21212;20950;18239
109;19476;19698;22073;26566;20921;3728;17439;25474;12209;22775;33398;21212;21069;18620
110;19324;19456;20118;26788;20932;3651;17561;25448;12736;22400;33794;21242;21111;18509
111;19533;19518;22439;26769;20661;3744;13459;25474;12293;23129;31703;21111;21173;18225
112;19554;19531;22308;25996;20825;3687;13518;25398;12341;23107;32571;21331;21688;18260
113;19557;19478;22513;26229;20882;3683;13497;25351;12069;23152;33996;21296;21496;18296
114;19518;19301;22369;26566;20927;3669;17537;25448;12550;23152;31921;20568;21069;18552
115;19547;19413;22872;26135;20866;3687;13463;25474;12150;23288;33728;18537;21427;18119
116;19469;19366;22457;26640;20574;3713;13352;25398;12069;22995;33628;21017;21111;18209
117;19526;19267;22224;26243;21098;3673;17904;25525;12438;23040;31184;21162;21194;18566
118;19501;19313;22241;26314;21015;3724;17488;25499;12139;22581;34098;21228;20950;18604
119;19656;19168;22263;26486;20786;3744;13467;25448;12269;22907;31579;21187;21517;18196
120;19561;19261;22374;26048;20704;3720;16037;25525;12127;22667;33861;21252;21173;18464
121;19229;19419;22374;26371;20604;3680;16176;25448;12127;22432;34098;21150;21560;18469
122;19533;19512;22639;26613;21055;3680;15980;25499;12034;23129;34030;21289;21406;18573
123;19480;19525;22535;26334;20816;3728;17415;25448;12081;22929;33695;21286;21300;18642
124;19518;19386;22594;26935;21028;3665;17985;25525;12250;23310;33861;21156;21560;18772
125;19557;19670;22647;26156;20793;3680;17569;25499;12092;22995;33661;20710;21406;18623
126;19522;19459;22462;26288;20824;3713;15223;25448;12550;22907;33895;21160;21257;18486
127;19268;19465;22455;26687;21103;3637;16942;25545;12438;22710;31641;21063;21111;18497
128;19271;19280;22198;26566;21005;3709;17480;25448;12365;23084;31579;20887;20950;18510
129;19526;19207;21320;26714;20930;3658;15899;25525;12174;22951;33661;21242;21257;18424
130;19307;19004;22518;26640;20869;3669;14367;25448;12558;22474;33828;21354;21427;18359
131;19275;19432;22110;26344;20737;3658;13458;25448;12281;23062;33628;21148;21342;18219
132;19444;19359;22859;26781;20822;3709;13562;25376;12245;22474;33301;21360;21427;18293
133;19451;12734;20209;26371;20683;3698;15899;25499;12139;23220;33075;21286;21517;17759
134;19511;19465;22502;26459;20832;3698;13603;25474;12057;23152;33595;21148;21300;18283
135;19469;19439;22384;26270;20899;3673;15972;25423;12221;22907;33628;21266;21517;18507
136;19533;19525;22505;26243;21066;3669;17618;25525;12150;23107;31456;21162;21131;18556
137;19473;19597;22846;26687;20984;3720;17040;25499;12402;22995;31365;21146;21111;18583
138;19533;19387;22584;26714;20892;3637;17349;25525;12174;23197;31610;21150;21539;18571
139;19247;19399;22397;26492;21035;3521;17659;25398;12293;22995;31579;21135;21300;18492
140;11452;19533;22709;26496;20837;3709;16217;25474;12057;22819;33861;21261;21560;17826
141;19526;19511;22401;26391;21009;3698;17651;25423;12306;21684;33562;20929;21300;18576
