LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
AVERAGE;18761.0077033075;19090.3220254608;21066.3881061689;26333.9290106441;20667.381685923;3686.5704127694;16427.5929850603;25303.512974979;12136.795564954;21117.2645978706;32601.9122175135;21161.2966393793;20912.0745067277;18145.1349252494
GEOMEAN;18760.85165373;19090.0127304057;21066.0530844585;26332.5053220638;20666.8429614797;3686.2063847168;16341.4925301412;25303.4874895137;12134.7824770116;21113.2989353033;32581.1087567571;21154.3196896671;20905.2533638338;18144.4626246843
1;18710;19168;20971;26539;20672;3669;17871;25300;12245;21273;33431;21304;20867;18337
2;18752;19101;21056;25948;20639;3694;14179;25300;12537;21092;33075;20348;21131;17953
3;18819;19267;20920;25974;20660;3731;13655;25326;11809;21252;32948;21263;20826;17890
4;18728;19075;21043;26465;20569;3720;17928;25203;12257;21374;33107;21471;20805;18345
5;18724;19267;21373;26862;20524;3705;17635;25300;12023;20568;33140;21347;21152;18310
6;18618;19075;21062;25900;20682;3713;14212;25351;12558;20528;33268;21378;20909;17981
7;18671;19062;21325;26862;20534;3669;13573;25300;12034;21313;33012;21310;20621;17918
8;18788;18982;21016;25948;20727;3673;16005;25326;11932;21112;33012;21172;20888;18081
9;18816;19174;21208;26392;20646;3640;17618;25351;12186;20568;33140;21348;20867;18259
10;18728;18943;21034;26319;20748;3731;17781;25376;12550;21354;31005;21297;20971;18280
11;18872;19055;21138;26539;20637;3724;17635;25228;12000;21172;32980;21319;21236;18319
12;18855;19062;20998;26397;20719;3731;13756;25275;12069;20937;32885;21295;21048;17940
13;18802;19194;21171;26177;20738;3691;14277;25351;12600;21333;33236;21402;20641;18068
14;18858;19293;20946;26130;20801;3683;18026;25300;12127;21053;32821;18564;21774;18172
15;18682;19121;21060;26492;20701;3683;16983;25351;12500;21232;31064;21177;21111;18204
16;18654;19174;21111;26053;20696;3702;13543;25203;12174;21212;33595;18435;21300;17763
17;18834;18890;21126;26391;20597;3651;14391;25250;12550;21033;32790;21183;20621;17978
18;18763;19273;20920;26070;20793;3669;17798;25250;12640;21435;33204;18570;21215;18196
19;18774;18943;20929;26613;20489;3687;17496;25250;11864;21354;33107;21233;20826;18228
20;18745;19029;20962;26640;20601;3655;13753;25300;11898;21192;33172;21293;21300;17930
