,baseline,prof.off,prof.on,reorder.off,reorder.on,Reorder-baseline,Profiling-baseline
Total,1162.400,1162.500,1165.900,1166.600,1176.300,1.2,0.3
ai,94.300,93.900,94.500,94.700,94.800,0.5,0.2
astar,94.3,93.9,94.5,94.7,94.8,0.5,0.2
audio,388.500,388.300,389.000,389.900,389.600,0.3,0.1
beat-detection,85.6,85.6,86,86.1,86,0.5,0.5
dft,145,144.8,145,145.1,145.2,0.1,0.0
fft,59.6,59.7,59.7,59.9,59.8,0.3,0.2
oscillator,98.4,98.2,98.4,98.8,98.6,0.2,0.0
imaging,306.200,307.300,307.100,307.900,308.600,0.8,0.3
gaussian-blur,104.8,105.1,105.5,105.5,107.3,2.4,0.7
darkroom,127.4,127.8,127.7,128,127.8,0.3,0.2
desaturate,73.9,74.3,73.9,74.4,73.5,-0.5,0.0
json,72.000,72.200,71.900,72.100,71.900,-0.1,-0.1
parse-financial,36.5,36.6,36.4,36.5,36.4,-0.3,-0.3
stringify-tinderbox,35.5,35.7,35.5,35.7,35.5,0.0,0.0
stanford,301.4,300.9,303.4,302.1,311.4,3.3,0.7
crypto-aes,79,79.1,79.4,79.6,78.5,-0.6,0.5
crypto-ccm,79.7,79.3,79.7,79.5,79.5,-0.3,0.0
crypto-pbkdf2,93.5,93.2,95,93.6,93.2,-0.3,1.6
crypto-sha256-iterative,49.2,49.3,49.3,49.4,60.2,22.4,0.2
