,baseline,reorder.on,
Total,159.7,162.3,1.63
3d,26.3,26.8,1.90
cube,10.9,10.8,-0.92
morph,4.4,4.5,2.27
raytrace,11,11.5,4.55
access,12.7,13.2,3.94
binary-trees,2.2,2.3,4.55
fannkuch,5.3,5.5,3.77
nbody,2.8,2.9,3.57
nsieve,2.4,2.5,4.17
bitops,7.9,8,1.27
3bit-bits-in-byte,1,1,0.00
bits-in-byte,2.1,2.2,4.76
bitwise-and,1.7,1.8,5.88
nsieve-bits,3.1,3.1,0.00
controlflow,2,2,0.00
recursive,2,2,0.00
crypto,13.6,14,2.94
aes,6.7,7,4.48
md5,3.9,4,2.56
sha1,3,3.1,3.33
date,20.9,21.1,0.96
format-tofte,10.5,10.7,1.90
format-xparb,10.4,10.4,0.00
math,13.5,13.7,1.48
cordic,2.5,2.6,4.00
partial-sums,9,9,0.00
spectral-norm,2,2.1,5.00
regexp,13.6,13.7,0.74
dna,13.6,13.7,0.74
string,49.2,49.9,1.42
base64,4.9,5,2.04
fasta,5.7,5.8,1.75
tagcloud,14.2,14.6,2.82
