Octane,baseline,reorder.on,diff,diff(ratio)
Score,18767.6,17962.5,-805.1,-4.3
Box2D,21795.5,16577.7,-5217.8,-23.9
CodeLoad,20241.7,20263.6,22.0,0.1
Crypto,22348.3,19993.3,-2355.0,-10.5
DeltaBlue,21469.0,21367.8,-101.2,-0.5
EarleyBoyer,21183.1,18551.8,-2631.4,-12.4
Gameboy,37260.2,34807.9,-2452.3,-6.6
Mandreel,22985.4,23184.9,199.5,0.9
NavierStokes,25927.1,25931.0,3.8,0.0
PdfJS,12539.6,12393.1,-146.6,-1.2
RayTrace,26701.6,26565.9,-135.8,-0.5
RegExp,3677.7,3605.8,-71.9,-2.0
Richards,19807.4,19932.0,124.6,0.6
Splay,14758.0,15371.6,613.6,4.2
