Kraken,Baseline,Prof.on,Reorder.on,Reorder-baseline,Prof-baseline
Total:,1223.2,1222.1,1222.2,-0.08,-0.09
ai:,95.3,94.3,97.4,2.20,-1.05
astar:,95.3,94.3,97.4,2.20,-1.05
audio:,445.3,437.4,437,-1.86,-1.77
beat-detection:,180.1,168.5,169.2,-6.05,-6.44
dft:,138.3,140.5,139.6,0.94,1.59
fft:,54.2,55.1,54.1,-0.18,1.66
oscillator:,72.7,73.3,74.1,1.93,0.83
imaging:,307.9,315.5,313.3,1.75,2.47
gaussian-blur:,104.3,110.9,104.5,0.19,6.33
darkroom:,118.1,119.1,118.1,0.00,0.85
desaturate:,85.5,85.5,90.7,6.08,0.00
json:,74.3,73.1,72.9,-1.88,-1.62
parse-financial:,36.2,36.6,36.3,0.28,1.10
stringify-tinderbox:,38.1,36.5,36.6,-3.94,-4.20
stanford:,300.4,301.8,301.6,0.40,0.47
crypto-aes:,73.4,73.8,73.8,0.54,0.54
crypto-ccm:,88,88.5,88.2,0.23,0.57
crypto-pbkdf2:,88.4,89.1,87.7,-0.79,0.79
crypto-sha256-iterative:,50.6,50.4,51.9,2.57,-0.40
