Kraken,baseline,prof.on,reorder.on,Reorder-baseline,Prof-baseline
Total:,1109.9,1106.5,1123.9,1.26,-0.31
ai:,92.3,91.8,91.7,-0.65,-0.54
astar:,92.3,91.8,91.7,-0.65,-0.54
audio:,342.7,343.1,341.6,-0.32,0.12
beat-detection:,80.5,80.5,81,0.62,0.00
dft:,139.1,139.1,139,-0.07,0.00
fft:,51,51.3,50.4,-1.18,0.59
oscillator:,72.1,72.3,71.2,-1.25,0.28
imaging:,311.4,309.2,317.9,2.09,-0.71
gaussian-blur:,106.9,106,109.1,2.06,-0.84
darkroom:,118.3,117.8,117.8,-0.42,-0.42
desaturate:,86.2,85.4,91.1,5.68,-0.93
json:,75.1,73.2,73.1,-2.66,-2.53
parse-financial:,36.6,36.7,36.5,-0.27,0.27
stringify-tinderbox:,38.5,36.5,36.6,-4.94,-5.19
stanford:,288.5,289.1,299.6,3.85,0.21
crypto-aes:,72.2,72,72.2,0.00,-0.28
crypto-ccm:,78.9,78.8,78.7,-0.25,-0.13
crypto-pbkdf2:,88.6,89.8,90,1.58,1.35
crypto-sha256-iterative:,48.8,48.5,58.7,20.29,-0.61
