SunSpider,Baseline,Prof.on,Reorder.on,Reorder-baseline,Prof-baseline
Total:,157.7,157.3,158.1,0.25,-0.25
3d:,26.1,25.9,26,-0.38,-0.77
cube:,10.6,10.6,10.6,0.00,0.00
morph:,4.4,4.4,4.4,0.00,0.00
raytrace:,11.1,11,11,-0.90,-0.90
access:,12.6,12.8,12.7,0.79,1.59
binary-trees:,2.3,2.3,2.3,0.00,0.00
fannkuch:,5.4,5.5,5.5,1.85,1.85
nbody:,2.6,2.6,2.6,0.00,0.00
nsieve:,2.4,2.4,2.4,0.00,0.00
bitops:,7.7,7.7,7.9,2.60,0.00
3bit-bits-in-byte:,1,1,1,0.00,0.00
bits-in-byte:,1.9,1.9,2,5.26,0.00
bitwise-and:,1.7,1.7,1.7,0.00,0.00
nsieve-bits:,3.1,3.1,3.1,0.00,0.00
controlflow:,2,2,2,0.00,0.00
recursive:,2,2,2,0.00,0.00
crypto:,13.5,13.6,13.6,0.74,0.74
aes:,6.7,6.6,6.7,0.00,-1.49
md5:,3.9,3.9,3.9,0.00,0.00
sha1:,3,3,3,0.00,0.00
date:,20.3,20.2,20.3,0.00,-0.49
format-tofte:,10,9.9,10,0.00,-1.00
format-xparb:,10.3,10.3,10.3,0.00,0.00
math:,11.5,11.4,11.4,-0.87,-0.87
cordic:,2.6,2.5,2.6,0.00,-3.85
partial-sums:,7.1,7,7,-1.41,-1.41
spectral-norm:,1.8,1.8,1.8,0.00,0.00
regexp:,13.7,13.7,13.7,0.00,0.00
dna:,13.7,13.7,13.7,0.00,0.00
string:,50.3,49.9,50.4,0.20,-0.80
base64:,5,4.9,5,0.00,-2.00
fasta:,5.8,5.9,5.8,0.00,1.72
tagcloud:,14.4,14.3,14.6,1.39,-0.69
unpack-code:,19.9,19.7,19.9,0.00,-1.01
validate-input:,5.1,5.1,5.1,0.00,0.00
