LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
AVERAGE;19448.7363883077;19460.7140364716;22409.4016919385;26466.6180385794;20891.9522632137;3685.0638069964;15308.3405950004;25473.2839791035;12355.8952734894;22878.7328059015;33357.9373088447;21220.6296403361;21260.7479194206;18437.1057400943
GEOMEAN;19448.1941538586;19460.018235781;22405.8459692298;26464.019289689;20891.1316068516;3684.9034982141;15196.2975002021;25472.989551739;12353.6367446903;22874.4029507241;33349.6544223649;21216.8201680606;21254.9597102988;18435.8700471303
1;19243;19452;22599;26492;21053;3623;15899;25448;12353;22973;33728;21276;21517;18527
2;19518;19373;22300;26243;20981;3698;17488;25448;12139;22753;33761;18359;21811;18441
3;19529;19315;22640;26909;21074;3705;13595;25571;12221;22710;33761;21377;21111;18330
4;19554;19359;22342;26344;20757;3687;14285;25474;12869;23220;33794;21336;21215;18433
5;19483;19445;22428;26584;20635;3658;13448;25571;12512;23107;33828;21224;21667;18330
6;19476;19439;22923;26381;20831;3676;13454;25448;12305;22688;33529;21381;21406;18295
7;19300;19485;22136;26334;20985;3669;14179;25474;12919;23084;33529;21311;21406;18405
8;19564;19326;22256;26454;20636;3705;16013;25423;12104;22667;33695;21239;21645;18486
9;19554;19452;22402;26553;20803;3687;13494;25525;12233;22907;33861;21329;20516;18245
10;19310;19637;22376;26581;21025;3694;17406;25499;12269;22973;33695;21295;21215;18665
11;19490;19538;22673;26418;21050;3665;17806;25474;12500;23310;31518;21257;21278;18656
12;19557;19564;22533;26566;20986;3629;17358;25499;12772;22951;33828;21284;21539;18738
13;19264;19445;22302;26575;21002;3705;17341;25376;12104;22753;33761;21355;21581;18631
14;19550;19558;22517;26566;21063;3662;13627;25448;12784;22973;33728;21284;21427;18396
15;19275;19392;22381;26165;20718;3669;13441;25499;12488;23265;33595;21168;21152;18251
16;19554;19452;22670;26475;20873;3676;13519;25423;12162;23107;33497;21317;21385;18301
17;19529;19379;22473;26460;20652;3655;15883;25448;12808;22973;31335;21145;21649;18463
18;19473;19637;22034;26761;20580;3669;13407;25398;12162;22973;33661;21289;21194;18232
19;19307;19591;22024;26532;20740;3709;13598;25545;12162;23129;33794;21278;21753;18309
20;19670;19492;22515;26681;20813;3698;13467;25499;12186;23129;33929;21171;18055;18092
21;19554;19492;21020;26423;21184;3662;17423;25398;12293;22885;31610;21188;21517;18487
22;19278;19240;17790;25232;21121;3658;17952;25596;12736;23062;33861;21325;21645;18371
23;19289;19425;22503;26418;21080;3647;17627;25525;12209;22432;34030;20937;21427;18615
24;19476;19611;22338;26270;20879;3644;17268;25474;12269;22995;34098;20898;21300;18610
25;19285;19558;22527;26260;20881;3683;14155;25545;12664;22667;33236;21354;21363;18364
26;19451;19518;22302;26293;20772;3644;13339;25423;12269;23062;33431;21410;21194;18228
27;19522;19399;22340;26418;20769;3673;14277;25525;12600;23040;33761;21327;21257;18395
28;19522;19498;22682;26485;20804;3694;17561;25474;12104;22863;33794;21278;21560;18680
29;19480;19564;22175;26156;21050;3662;17545;25525;12894;23040;33464;21337;21363;18716
30;19526;19544;22274;26096;21144;3673;17781;25474;12712;22538;32448;21364;21090;18635
31;19536;19419;22441;26391;21125;3658;16119;25423;12197;21252;33794;21302;21427;18438
32;19466;19472;22274;26392;21275;3713;17553;25525;12353;23220;31672;21068;21300;18611
33;19487;19366;22355;26628;21120;3698;13617;25448;12575;23084;33628;21393;21278;18364
34;19328;19452;22344;26465;21182;3728;17586;25448;12305;22885;33075;21269;21173;18647
35;19564;19604;22067;26382;20850;3644;13533;25423;12186;22474;33794;21377;21321;18233
36;19476;19459;22359;26492;20709;3735;17822;25448;12281;22907;31703;21254;20682;18554
37;19646;19571;22145;26788;21009;3665;17838;25423;12629;22432;32540;21407;21048;18653
38;19571;19459;22299;26590;20765;3673;13493;25398;12221;23062;33464;21331;20971;18249
39;19518;19406;22327;26558;20808;3720;13573;25423;12104;22753;33075;21334;21427;18254
40;19261;19300;22344;26640;20959;3687;17741;25448;12353;22688;31984;21236;20930;18548
41;19554;19498;22596;26376;20878;3713;13507;25376;12174;22688;33828;21355;21321;18293
42;19568;19485;22595;26761;20900;3702;13328;25673;12293;22667;33464;21327;21152;18292
43;19504;19432;22449;26513;21114;3662;17594;25448;12600;22973;31703;21164;21215;18613
44;19578;20325;22558;25932;20814;3698;13186;25474;12488;23040;32634;21273;21215;18283
45;19264;19544;22621;26481;20843;3731;13367;25423;12500;22775;33861;21308;21385;18320
46;19511;19478;22280;26560;21031;3658;18034;25525;12363;23129;33861;21198;20682;18684
47;19504;19386;22676;26286;20679;3691;16192;25423;12104;22995;33761;21345;21517;18539
48;19285;19395;22642;26631;20799;3651;13644;25474;12317;23242;33895;21287;21602;18340
49;19536;19333;22615;26397;20844;3669;13573;25423;12139;22753;33661;21205;20846;18224
50;19285;19478;22279;26640;21009;3702;16135;25474;12221;22602;33431;21204;21300;18500
51;19515;19247;22289;26334;20740;3713;13387;25596;12512;22885;33497;21311;21560;18290
52;19321;19452;22767;26407;20845;3694;13648;25448;12377;22775;33828;21354;21363;18326
53;19497;19353;22645;26251;20799;3655;16135;25474;12402;23017;31426;21074;21496;18439
54;19564;19373;22491;26716;20773;3673;13439;25499;12221;23062;33728;21236;21131;18277
55;19501;19412;21464;26418;21123;3705;17830;25545;12363;22819;33661;21351;21560;18668
56;19275;19287;22422;26465;20989;3673;17643;25326;12262;23242;33794;21401;21215;18659
57;19554;19346;22575;26622;20797;3637;15948;25525;12640;22841;33761;21331;21194;18552
58;19261;19478;22421;26196;20948;3720;16975;25499;12209;22624;31365;21210;20353;18404
59;19285;19406;22281;26788;20979;3655;15989;25398;12365;23242;34030;21283;21111;18539
60;19522;19459;22655;26465;21024;3665;13352;25376;12233;23152;33996;21233;21028;18286
61;19307;19432;22215;26407;20922;3724;14505;25499;12069;23152;33431;21293;21173;18348
62;19296;19432;22149;26449;20806;3487;17537;25474;12724;23084;33895;21212;21194;18599
63;19487;19326;22263;26549;20786;3702;13359;25499;12640;22602;33761;21242;21278;18279
64;19208;19564;22179;26581;20814;3705;13609;25376;12463;23107;33996;21372;21257;18323
65;19307;19498;22186;26288;20843;3724;17504;25448;12034;23129;33895;21405;21236;18630
66;19557;19439;22303;26640;20928;3728;13756;25474;12570;22885;32417;21341;21236;18315
67;19494;19498;22122;26191;20802;3709;13472;25622;12186;22688;33661;21354;21236;18241
68;19536;19505;22644;26312;20830;3611;13830;25571;12281;22624;33828;21423;21236;18301
69;19568;19452;22235;26186;20801;3676;16005;25571;12209;23017;33761;21192;21069;18483
70;19533;19465;22313;26481;20856;3735;14098;25423;12269;23040;34064;21116;21131;18361
71;19540;19386;22546;26365;20941;3740;14090;25571;12488;22951;33794;21278;21667;18433
