LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
AVERAGE;18351.7234159709;4024.1683193647;17789.2432263516;26476.6059576133;20731.5596921382;3699.9637967708;15746.6548290348;25497.6071794141;12261.4384172358;21770.108758589;32882.313256705;20973.064960537;21179.5349910674;15887.0459539612
GEOMEAN;18347.707985444;3985.1596823394;17774.6131758213;26474.9788066653;20730.8460691108;3699.8983854007;15668.414517409;25497.5897070385;12260.2086179067;21754.3792945136;32864.6283525234;20971.4802684865;21172.4955337184;15885.9769806096
1;18159;4410;16653;26613;20757;3662;17675;25474;12317;21918;31335;21124;20723;15998
2;18156;3445;18185;26465;20605;3691;16005;25525;12233;21896;33431;20829;20909;15742
3;18191;4496;17060;26100;20850;3691;16787;25571;12150;21705;31214;20985;21069;15965
4;19264;3742;18066;26909;20736;3702;17415;25423;11943;21982;33628;21054;21236;16053
5;18223;4522;17070;26566;20597;3747;16828;25499;12092;22091;31005;21079;20971;16008
6;18209;3511;17796;26613;20519;3716;14236;25398;12488;21854;33497;21092;20867;15643
7;19165;3914;17660;27010;20765;3687;16037;25545;12081;22047;33562;21074;20930;15978
8;18219;4119;16498;26714;20782;3644;17781;25474;12575;22134;31703;20973;21111;15980
9;18205;3914;17689;26936;20762;3662;17741;25499;12426;21705;31094;21046;21131;15959
10;18212;3901;17653;26386;20449;3716;16054;25423;11977;21875;33431;21024;20743;15830
11;19271;4079;16649;26492;20672;3705;17260;25499;12209;21790;30600;21038;22052;15976
12;18226;4575;18189;26788;20791;3709;17415;25545;12046;21896;33529;20909;21496;16257
13;18205;4351;16586;26689;20797;3683;15940;25474;12139;21875;33398;20922;21194;15940
14;19282;4132;16805;26027;20742;3751;13471;25474;12162;22026;30539;21136;21236;15664
15;18156;4403;17084;26376;20643;3720;13748;25525;12162;22047;33562;20836;21581;15833
16;19180;3941;17888;26687;20789;3731;16037;25525;12500;21769;33562;20832;21688;16060
17;18198;4390;17083;26382;20705;3665;13821;25499;12550;21811;33333;20820;20909;15800
18;18223;4668;18208;26272;20590;3691;17146;25448;12104;22004;31518;21027;21131;16137
19;18184;4106;16601;26329;20833;3713;15711;25525;11921;22113;33366;21114;21090;15844
20;19303;3590;17983;26554;20747;3740;15434;25545;12512;21832;33431;20922;18200;15700
21;18142;4582;18180;26566;20711;3713;17146;25376;12257;22091;31274;21018;21300;16152
22;18177;4390;16105;26616;20732;3680;14082;25525;12535;21811;33628;21137;20950;15798
23;18128;4298;16595;27015;20889;3644;13320;25499;12150;21769;33529;20847;21152;15703
24;18209;3041;18405;26418;20450;3622;13603;25499;11921;21811;34064;21112;20661;15371
25;18209;4489;17360;27010;20935;3705;16649;25545;12104;21961;31244;21028;21090;16041
26;18177;3392;17997;26365;20774;3758;16820;25571;12269;21875;31703;20942;21363;15773
27;18188;3498;17964;26581;20878;3687;13544;25474;12305;21643;33140;20085;21278;15525
28;18230;4721;18142;26169;20901;3751;13992;25499;12305;21939;33695;20818;21560;16044
29;19250;3643;18306;26022;20772;3680;15907;25545;12587;21790;33996;21007;21406;15958
30;18219;4165;16506;26610;20753;3680;14228;25423;12629;21896;33628;20716;21236;15782
31;18191;3398;17978;26439;20735;3698;14098;25474;12500;21518;33929;20828;21257;15611
32;18230;4675;17981;26465;20733;3698;17627;25525;12209;22004;31304;20980;21152;16183
33;18191;3246;18053;26418;20558;3658;14016;25525;12546;21982;33366;20729;21321;15540
34;18241;3412;18151;25984;20685;3740;14294;25622;12011;21790;33595;20806;21278;15599
35;18219;3551;18270;26454;20831;3709;17586;25474;12558;22113;33464;21175;21517;16021
36;18195;3914;18030;26761;20511;3716;13458;25326;12092;21790;33464;20820;21342;15692
37;18226;4093;16742;26439;20779;3680;16852;25398;12023;21705;31672;20998;20723;15820
38;18216;4688;18642;25996;20867;3683;17064;25499;12127;22004;31487;20962;20971;16157
39;18195;3451;17993;26566;20586;3709;14212;25499;12477;21875;33431;21028;21321;15657
40;18237;4787;18191;26043;20518;3740;13654;25525;12034;21705;33661;20960;21194;15949
41;18244;3544;17581;26335;20536;3705;13390;25525;11966;21790;33497;20808;21257;15511
42;18191;4827;18114;26491;20651;3735;13582;25525;11943;21982;33268;20892;20867;15940
43;18230;3855;18013;26936;21032;3680;17317;25474;12305;22069;31304;21061;20784;15952
44;18212;3564;18064;26862;20801;3683;13295;25474;12081;21748;33301;20841;21342;15577
45;18159;3144;18052;26492;20657;3691;15980;25571;12546;22091;33761;21042;20888;15692
46;18219;3749;18296;26213;20694;3728;14701;25525;12389;21643;33497;21174;21427;15812
47;18198;4655;18345;26260;20592;3691;17260;25351;11989;21918;33529;20975;20909;16188
48;18241;3425;18357;26909;20690;3713;16111;25571;12000;21875;33929;21092;21363;15830
49;19236;4410;16330;26475;20249;3713;17496;25571;12057;22091;33728;21065;21152;16114
50;19268;4423;16017;26053;20591;3716;17252;25596;12081;21875;33562;21065;20930;16052
51;18233;3901;17799;26449;20670;3680;16143;25474;12293;21982;33761;21096;21257;15939
52;18244;3742;18171;26365;20845;3713;16331;25423;12034;22047;33464;20852;21710;15921
53;18195;3019;18348;26788;20786;3736;16127;25525;12081;20528;33464;20852;21173;15571
54;19293;3921;18190;26628;21011;3676;16054;25499;12377;22026;33828;20814;20971;16043
55;18212;3835;17183;26517;20589;3716;13642;25474;12150;21896;33497;21127;20826;15628
56;18177;4377;17682;26418;20797;3698;17211;25499;12011;21832;33728;20814;21215;16104
57;19321;4430;17307;26714;20651;3705;17667;25474;12537;21790;31304;21028;20826;16155
58;18149;3412;18165;26748;20696;3698;13418;25525;11876;21769;33628;20911;21321;15530
