LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
AVERAGE;19479.8052672615;19432.4911728537;22416.2216083906;26447.3352865439;20848.7941947644;3698.1659609188;15819.1608492122;25473.2946753961;12230.0536027873;22879.898621206;33233.62941894;21113.886648789;21337.5747915584;18464.9105401977
GEOMEAN;19479.6336307333;19431.5864268632;22414.8041952802;26445.6432719329;20848.0973821815;3697.9804594077;15718.4246060808;25473.3376980286;12227.8013936645;22878.3106030011;33221.7094700134;21111.3243944893;21335.3957791902;18464.2700988329
1;19289;19439;22087;26122;20717;3705;15915;25571;12629;23084;33464;21249;21342;18508
2;19522;19525;22662;26444;20835;3705;13557;25448;12092;23084;33761;21207;21688;18330
3;19466;19630;22735;26165;21023;3724;13593;25596;12115;23265;33562;21284;21069;18324
4;19529;19419;22254;26407;20887;3680;16070;25525;12115;23040;33761;21145;18692;18319
5;19515;19439;22747;26640;20747;3466;17415;25545;12034;22973;33794;21163;20846;18528
6;19515;19326;21506;26492;20835;3713;14562;25596;12186;22841;33929;21190;21215;18326
7;19413;19399;22126;26511;20978;3705;17390;25499;12245;22819;33628;21180;21645;18640
8;19469;19584;22073;26217;20903;3731;17007;25596;12221;23084;31214;21080;21321;18496
9;19533;19320;22409;26397;21006;3724;17798;25499;12239;22973;33661;21144;21090;18668
10;19533;19194;22190;26539;21022;3702;17749;25474;12115;22753;30508;21124;21342;18487
11;19469;19498;22460;26492;20618;3698;13788;25499;12127;22863;33661;21144;21427;18288
12;19536;19505;22688;26835;20977;3321;17936;25499;12582;23197;33562;21095;21363;18633
13;19515;19353;22225;26882;20786;3709;13534;25423;12488;22113;33695;21142;21111;18247
14;19462;19513;22074;25948;20496;3694;17537;25474;12209;22581;33761;21208;21517;18571
15;19522;19392;22324;26267;20864;3694;13416;25474;12034;23152;33529;21093;21406;18236
16;19483;19465;22281;26317;20820;3728;16950;25571;12341;23017;33728;21104;21236;18610
17;19543;19406;22568;26164;20806;3676;17594;25474;12537;23062;31124;21036;21496;18570
18;19508;19342;22252;26714;20985;3680;17455;25571;11898;22907;33595;21156;20971;18578
19;19518;19379;22554;26164;20748;3713;17464;25499;12081;23129;33861;21098;21090;18615
